key,state_name,state,city,police_department,total,white,black,native,asian,hawaiian,asianpacificislander,other,two_races,hispanic,black_victims_2012,Unarmed Black,Unarmed White,Unarmed Hispanic,Unarmed Native American,Unarmed Asian/Pacific Islander,Unarmed Unknown,All Unarmed,Rate of Unarmed Black,Rate of Unarmed White,Rate of Unarmed Hispanic,Rate of Unarmed Native American,Rate of Unarmed Asian/Pacific Islander,Rate of All Unarmed,Black Victims,White Victims,Hispanic Victims,Asian/Pacific Islander Victims,Victims of Unknown Race,All,Percent of Victims Black,Rate of All Police Killings per 1M,Rate of Police Killings of Black People per 1M,Rate of Police Killings of White People per 1M,Rate of Police Killings of Hispanic People per 1M,Rate of Police Killings of Asian People per 1M,murder_rate,violent_crime_rate,population,violent_crime,murder_and_manslaughter,Black Armed,White Armed,Hispanic Armed,Asian/Pacific Islander Armed,Unknown Armed,Black Male Police Homicide Rate
0,Florida,FL,Hialeah,Hialeah PD,224669,9511,1209,73,697,2,699,119,253,212805,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,,,,2,50,8.9,164.9,105.1,#VALUE!,0.0,5.6,3.3,234182,774,13,1,1,0,0,0,329.70656119999995
1,New Mexico,NM,Albuquerque,Albuquerque PD,545852,229933,14878,20627,13674,418,14092,1224,10043,255055,,,1.0,,,,,1,0.0,4.35,0.0,0,0.0,1.83,2.0,4.0,3.0,,,9,22,16.5,134.4,17.4,11.8,0.0,6.6,7.7,558165,4325,37,2,3,3,0,0,268.8533405
2,Wisconsin,WI,Madison,Madison PD,233209,176463,16507,763,17126,67,17193,374,5961,15948,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,,,,2,50,8.6,60.6,5.7,0,0.0,2.1,3.6,242523,884,5,1,1,0,0,0,121.16071969999999
3,Oklahoma,OK,Tulsa,Tulsa PD,391906,227021,61230,19473,8926,278,9204,473,19239,55266,4.0,2.0,,,,,,2,32.66,0.0,0.0,0,0.0,5.1,3.0,2.0,1.0,,,6,50,15.3,49.0,8.8,18.1,0.0,15.2,9.7,394498,3827,60,1,2,1,0,0,97.99118079
4,Nevada,NV,North Las Vegas,North Las Vegas PD,216961,67687,41561,871,13122,1684,14806,377,7525,84134,,,1.0,,,,,1,0.0,14.77,0.0,0,0.0,4.61,2.0,1.0,,,,3,67,13.8,48.1,14.8,0,0.0,3.1,8.0,225632,1806,7,2,0,0,0,0,96.24407497
5,Texas,TX,San Antonio,San Antonio PD,1327407,353106,83365,2771,30596,1097,31693,2105,15415,838952,,1.0,,1.0,,,,2,12.0,0.0,1.19,0,0.0,1.51,4.0,2.0,2.0,,1.0,9,44,6.8,48.0,5.7,2.4,0.0,5.1,6.3,1399725,8828,72,3,2,1,0,1,95.96353386
6,California,CA,Bakersfield,Bakersfield PD,347483,131311,26677,2265,20496,357,20853,681,7491,158205,,1.0,,1.0,,,,2,37.49,0.0,6.32,0,0.0,5.76,1.0,,1.0,,,2,50,5.8,37.5,0.0,6.3,0.0,6.6,5.1,361859,1857,24,0,0,0,0,0,74.97094876
7,Oklahoma,OK,Oklahoma City,Oklahoma City PD,579999,328582,85744,18208,23051,464,23515,700,23212,100038,,,1.0,,,,,1,0.0,3.04,0.0,0,0.0,1.72,3.0,5.0,2.0,,,10,30,17.2,35.0,15.2,20,0.0,10.2,8.3,605034,4998,62,3,4,2,0,0,69.97574174
8,New Jersey,NJ,Jersey City,Jersey City PD,247597,53236,59060,586,58106,95,58201,2423,5835,68256,,1.0,,,,,,1,16.93,0.0,0.0,0,0.0,4.04,2.0,,,,,2,100,8.1,33.9,0.0,0,0.0,7.8,6.4,256886,1655,20,1,0,0,0,0,67.72773451
9,Arizona,AZ,Phoenix,Phoenix PD,1445632,672573,86788,23327,43894,2055,45949,2242,24876,589877,,4.0,,2.0,,,,6,46.09,0.0,3.39,0,0.0,4.15,4.0,6.0,6.0,,,16,25,11.1,46.1,8.9,10.2,0.0,7.9,6.3,1502139,9492,118,0,6,4,0,0,67.1
10,Nevada,NV,Las Vegas,Las Vegas Metro PD,583756,279703,62008,2391,34606,3103,37709,1101,16985,183859,,2.0,,,,,,2,32.25,0.0,0.0,0,0.0,3.43,2.0,6.0,,,1.0,9,22,15.4,32.3,21.5,0,0.0,6.5,7.6,1500455,11374,97,0,6,0,0,1,64.50780544
11,Florida,FL,Orlando,Orlando PD,238300,98533,63584,483,8756,130,8886,1688,4643,60483,,,,1.0,,,,1,0.0,0.0,16.53,0,0.0,4.2,2.0,,2.0,,,4,50,16.8,31.5,0.0,33.1,0.0,6.7,9.1,253238,2316,17,2,0,1,0,0,62.9089079
12,Texas,TX,Garland,Garland PD,226876,83259,32164,789,21162,65,21227,308,3345,85784,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,1.0,,,,,1,100,4.4,31.1,0.0,0,0.0,2.5,2.2,235683,514,6,1,0,0,0,0,62.18132073
