key,state_name,state,city,total,white,black,native,asian,hawaiian,asianpacificislander,other,two_races,hispanic,black_victims_2012,murder_rate,violent_crime_rate,population,violent_crime,murder_and_manslaughter
0,Florida,FL,Hialeah,"224,669","9,511","6,066",73,697,2,699,119,253,"69,599",,5.6,3.3,"234,182",774,13
1,New Mexico,NM,Albuquerque,"545,852","229,933","14,878","20,627","13,674",418,14092,"1,224","10,043","255,055",,6.6,7.7,"558,165","4,325",37
2,Wisconsin,WI,Madison,"233,209","176,463","16,507",763,"17,126",67,17193,374,"5,961","15,948",,2.1,3.6,"242,523",884,5
3,Oklahoma,OK,Tulsa,"391,906","227,021","61,230","19,473","8,926",278,9204,473,"19,239","55,266",4.0,15.2,9.7,"394,498","3,827",60
4,Nevada,NV,North Las Vegas,"216,961","67,687","41,561",871,"13,122","1,684",14806,377,"7,525","84,134",,3.1,8.0,"225,632","1,806",7
5,Texas,TX,San Antonio,"1,327,407","353,106","83,365","2,771","30,596","1,097",31693,"2,105","15,415","838,952",,5.1,6.3,"1,399,725","8,828",72
6,California,CA,Bakersfield,"347,483","131,311","26,677","2,265","20,496",357,20853,681,"7,491","158,205",,6.6,5.1,"361,859","1,857",24
7,Oklahoma,OK,Oklahoma City,"579,999","328,582","85,744","18,208","23,051",464,23515,700,"23,212","100,038",,10.2,8.3,"605,034","4,998",62
8,New Jersey,NJ,Jersey City,"247,597","53,236","59,060",586,"58,106",95,58201,"2,423","5,835","68,256",,7.8,6.4,"256,886","1,655",20
9,Arizona,AZ,Phoenix,"1,445,632","672,573","86,788","23,327","43,894","2,055",45949,"2,242","24,876","589,877",,7.9,6.3,"1,502,139","9,492",118
10,Nevada,NV,Las Vegas,"583,756","279,703","62,008","2,391","34,606","3,103",37709,"1,101","16,985","183,859",,6.5,7.6,"1,500,455","11,374",97
11,Florida,FL,Orlando,"238,300","98,533","63,584",483,"8,756",130,8886,"1,688","4,643","60,483",,6.7,9.1,"253,238","2,316",17
12,Texas,TX,Garland,"226,876","83,259","32,164",789,"21,162",65,21227,308,"3,345","85,784",,2.5,2.2,"235,683",514,6
13,California,CA,Stockton,"291,707","66,836","33,507","1,237","60,323","1,622",61945,470,"10,122","117,590",,10.7,12.1,"299,796","3,622",32
14,California,CA,Los Angeles,"3,792,621","1,086,908","347,380","6,589","420,212","4,300",424512,"12,057","76,353","1,838,822",2.0,6.5,4.3,"3,878,725","16,524",251
15,California,CA,Fresno,"494,665","148,598","37,885","3,127","60,939",663,61602,984,"10,414","232,055",,7.9,5.0,"508,876","2,552",40
16,Missouri,MO,St. Louis,"319,294","134,702","156,389",684,"9,233",62,9295,478,"6,616","11,130",4.0,37.7,15.9,"318,563","5,077",120
17,Kansas,KS,Wichita,"382,368","246,744","42,676","3,424","18,272",311,18583,472,"12,121","58,348",,3.9,7.9,"386,486","3,065",15
18,California,CA,San Francisco,"805,235","337,451","46,781","1,828","265,700","3,128",268828,"2,494","26,079","121,774",,5.8,8.5,"833,863","7,064",48
19,Virginia,VA,Norfolk,"242,803","107,463","102,452",935,"7,861",359,8220,471,"7,118","16,144",,11.3,5.7,"247,303","1,418",28
20,Alabama,AL,Birmingham,"212,237","44,819","155,258",361,"2,132",48,2180,150,"1,765","7,704",,29.7,13.5,"212,001","2,852",63
21,Ohio,OH,Columbus,"787,033","466,615","217,694","1,643","31,734",462,32196,"2,032","22,494","44,359",4.0,10.9,5.1,"201,165","1,022",22
22,Nebraska,NE,Omaha,"408,958","278,172","55,128","2,263","9,889",253,10142,806,"8,894","53,553",,9.9,5.8,"425,076","2,449",42
23,Florida,FL,Jacksonville,"821,784","452,525","247,516","2,687","34,731",668,35399,"1,949","18,223","63,485",,11.0,6.2,"845,745","5,246",93
24,Illinois,IL,Chicago,"2,695,598","854,717","872,286","4,097","144,903",557,145460,"4,227","35,949","778,862",14.0,15.2,9.0,"2,720,554","24,469",414
25,Florida,FL,Miami,"399,457","47,622","64,993",361,"3,649",58,3707,676,"2,642","279,456",3.0,17.0,11.8,"418,394","4,945",71
26,Ohio,OH,Cincinnati,"296,943","142,831","132,307",549,"5,434",168,5602,721,"6,625","8,308",,23.6,9.5,"296,491","2,826",70
27,Kentucky,KY,Louisville,"597,337","408,157","135,138","1,289","12,764",347,13111,"1,018","11,834","26,790",,7.2,5.4,"671,120","3,644",48
28,Missouri,MO,Kansas City Missouri,"459,787","252,257","135,916","1,823","11,275",787,12062,709,"11,067","45,953",,21.3,12.6,"465,514","5,864",99
29,District of Columbia,DC,Washington,"601,723","209,464","301,053","1,322","20,818",216,21034,"1,451","12,650","54,749",,15.9,12.2,"646,449","7,880",103
30,North Carolina,NC,Winston-Salem,"229,617","108,222","78,065",567,"4,536",138,4674,535,"3,801","33,753",,6.4,6.0,"235,811","1,426",15
31,Maryland,MD,Baltimore,"620,961","174,120","392,938","1,884","14,397",192,14589,942,"10,528","25,960",11.0,37.4,14.0,"622,671","8,725",233
32,Texas,TX,Houston,"2,099,451","537,901","485,956","3,528","124,859",711,125570,"4,128","22,700","919,668",8.0,9.8,9.6,"2,180,606","20,993",214
33,Florida,FL,Tampa,"335,709","155,552","83,032",755,"11,362",207,11569,794,"6,535","77,472",,8.0,6.0,"351,314","2,097",28
34,Tennessee,TN,Nashville,"601,222","338,782","169,272","1,418","18,497",275,18772,"1,155","11,433","60,390",,5.5,10.4,"635,673","6,612",35
35,Texas,TX,Dallas,"1,197,816","345,205","294,159","3,167","33,609",311,33920,"1,824","12,232","507,309",10.0,11.4,6.6,"1,255,015","8,330",143
36,Louisiana,LA,New Orleans,"343,829","104,770","204,866",827,"9,883",105,9988,967,"4,360","18,051",5.0,41.4,7.9,"377,022","2,965",156
37,Ohio,OH,Cleveland,"396,815","132,710","208,208",997,"7,213",70,7283,599,"7,484","39,534",4.0,14.1,14.8,"389,181","5,751",55
38,California,CA,Oakland,"390,724","101,308","106,637","1,214","65,127","2,081",67208,"1,213","14,076","99,068",,22.3,19.8,"403,887","7,984",90
39,North Carolina,NC,Greensboro,"269,666","122,888","108,233","1,096","10,711",128,10839,703,"5,571","20,336",,9.7,5.2,"279,343","1,449",27
